Polling firm,Date,T-Days,A,O,V,Ø,I,Å,B,F,C,K,D,Blue,Red,Sample size
Epinion,4 Jun 2019,-1,25.7,9.6,20.7,8.5,2.4,3.4,8.6,8.1,6.2,1.7,2.7,45.7,54.3,2414
Gallup,4 Jun 2019,-1,25.7,10.6,22.3,8.0,2.8,2.9,7.5,7.6,6.1,1.9,2.6,48.1,51.7,4841
Voxmeter,4 Jun 2019,-1,29.3,10.1,18.2,8.5,3.3,2.8,8.9,8.8,4.5,1.6,1.8,41.2,58.8,1003
YouGov,4 Jun 2019,-1,27.3,11.3,18.6,8.2,3.2,2.7,7.6,6.9,4.6,1.7,4.7,47.2,52.8,1075
Norstat,3 Jun 2019,-2,28.6,10.5,17.9,8.7,3.6,2.6,7.3,7.4,4.5,1.9,4.1,44.9,54.6,1204
Voxmeter,3 Jun 2019,-2,29.7,9.9,17.7,9.1,2.8,2.9,8.8,8.7,4.6,1.9,2.1,40.6,59.2,1006
Greens,3 Jun 2019,-2,26.2,10.5,18.7,8.3,2.8,4.0,6.5,8.4,5.2,2.0,3.3,45.8,53.4,1162
YouGov,3 Jun 2019,-2,28.2,10.6,19.3,9.5,3.6,3.0,6.8,5.4,4.8,1.7,4.0,47.2,52.8,855
Voxmeter,2 Jun 2019,-3,28.3,10.7,17.4,9.5,3.0,2.7,8.4,8.3,5.0,1.8,2.5,42.7,57.2,1006
YouGov,2 Jun 2019,-3,29.0,8.3,20.8,9.6,2.2,2.4,7.9,6.0,5.2,1.7,4.1,45.1,54.9,776
Voxmeter,1 Jun 2019,-4,27.5,11.1,17.8,8.9,3.4,2.9,8.7,7.8,5.2,1.4,2.5,43.5,55.8,1005
YouGov,1 Jun 2019,-4,28.5,8.5,20.9,8.3,2.8,2.3,8.4,6.7,5.4,1.4,4.3,45.9,54.1,870
Voxmeter,31 May 2019,-5,27.2,11.6,17.9,8.8,3.2,3.3,8.4,7.6,5.5,1.2,2.2,44.2,55.3,1009
YouGov,31 May 2019,-5,26.6,9.0,20.3,8.6,2.9,2.8,8.6,7.6,5.2,1.5,4.2,45.8,54.2,979
Voxmeter,30 May 2019,-6,27.1,11.1,17.5,8.4,3.0,3.6,8.8,8.0,5.6,1.6,1.7,43.7,55.9,1011
Epinion,30 May 2019,-6,26.1,10.6,20.4,8.5,2.7,2.8,7.1,8.9,5.1,1.8,3.1,46.6,53.4,1719
Megafon,30 May 2019,-6,25.7,12.1,19.5,8.8,3.5,3.5,8.3,7.3,5.3,1.5,2.2,46.3,53.6,1013
YouGov,30 May 2019,-6,28.1,9.5,18.3,8.5,2.6,2.6,8.4,8.9,5.3,1.3,3.5,43.5,56.5,978
Voxmeter,29 May 2019,-7,27.3,10.4,17.7,8.6,2.8,3.4,9.1,8.4,5.6,1.5,1.4,42.9,56.8,1011
YouGov,29 May 2019,-7,26.3,11.3,17.3,8.7,2.6,3.3,8.0,9.0,5.7,0.7,4.3,44.8,55.2,981
Gallup,28 May 2019,-8,25.7,11.0,20.4,8.6,3.0,2.9,6.8,8.6,6.9,1.4,2.9,48.0,52.0,1476
Voxmeter,28 May 2019,-8,26.6,10.7,18.2,8.3,3.1,3.7,8.7,8.8,5.2,1.6,1.5,43.7,56.1,1007
YouGov,28 May 2019,-8,26.3,12.5,16.2,8.8,2.7,3.5,6.9,9.1,6.2,0.9,3.9,45.5,54.5,978
Voxmeter,27 May 2019,-9,26.4,11.2,18.1,8.7,3.6,3.4,8.8,8.7,4.7,1.1,1.7,43.7,56.0,1005
Voxmeter,26 May 2019,-10,25.9,11.7,17.8,9.0,3.9,3.4,8.5,8.5,4.4,1.3,1.9,44.2,55.3,1005
Voxmeter,25 May 2019,-11,26.5,11.7,17.5,9.4,4.2,3.4,8.5,8.2,3.9,1.5,2.0,43.5,56.0,1006
YouGov,25 May 2019,-11,27.6,11.8,16.9,8.1,2.9,2.3,6.6,8.2,6.2,1.1,4.0,47.2,52.8,991
Voxmeter,24 May 2019,-12,27.1,11.1,18.0,9.0,4.4,3.8,8.2,7.8,3.4,1.8,1.9,43.6,55.9,1006
Voxmeter,23 May 2019,-13,26.6,10.4,18.4,9.3,4.6,4.2,7.9,7.4,3.2,1.6,2.1,43.8,55.4,1006
YouGov,23 May 2019,-13,26.8,11.3,17.5,9.4,2.7,2.5,6.2,8.8,5.0,1.2,4.3,46.3,53.7,981
Megafon,23 May 2019,-13,26.7,11.6,17.5,8.1,4.3,3.4,7.7,7.8,5.4,1.7,3.2,46.2,53.7,1001
Greens,22 May 2019,-14,26.6,10.4,18.4,9.3,4.6,4.2,7.9,7.4,3.2,1.6,2.1,43.8,55.4,1000
Voxmeter,22 May 2019,-14,26.1,10.6,18.6,9.5,4.4,4.0,7.8,7.1,3.5,2.3,1.5,44.7,54.5,1002
Gallup,21 May 2019,-15,27.4,11.9,19.8,6.6,3.8,3.0,7.5,8.1,4.4,1.9,2.9,47.1,52.6,1503
Voxmeter,21 May 2019,-15,26.5,10.8,18.9,9.1,3.9,3.6,7.8,7.6,3.7,2.1,2.0,44.9,54.6,1004
Epinion,20 May 2019,-16,29.8,10.6,17.1,8.9,4.6,3.3,7.7,6.8,4.7,1.2,2.3,43.5,56.5,1629
Voxmeter,20 May 2019,-16,27.5,11.3,18.5,8.8,3.5,3.6,7.6,7.3,4.2,2.2,1.8,44.6,54.8,1008
YouGov,20 May 2019,-16,28.2,11.1,15.8,9.0,4.0,3.3,7.0,8.0,4.8,1.1,4.1,44.4,55.6,1087
Norstat,20 May 2019,-16,28.8,11.2,18.3,8.2,2.9,3.4,7.3,6.9,3.6,1.5,3.2,45.0,54.6,1207
Voxmeter,19 May 2019,-17,27.9,11.0,18.8,8.4,3.2,4.0,8.1,7.6,4.1,1.9,1.9,43.6,56.0,1009
Voxmeter,18 May 2019,-18,27.7,10.8,18.6,9.0,3.3,3.7,8.7,7.3,4.2,1.6,2.2,43.1,56.4,1008
Voxmeter,17 May 2019,-19,27.8,10.1,18.6,9.6,3.9,3.3,8.5,7.7,4.0,1.7,2.3,42.9,56.9,1006
YouGov,17 May 2019,-19,24.8,12.5,15.7,9.2,3.1,2.8,7.0,8.6,6.8,0.9,3.8,47.7,52.3,973
Voxmeter,16 May 2019,-20,28.5,11.0,17.5,10.2,3.7,2.8,8.0,7.4,4.5,1.5,2.1,42.9,56.9,1012
Gallup,15 May 2019,-21,26.1,13.4,17.8,8.1,3.9,3.3,7.3,8.3,5.9,1.4,2.1,46.7,53.1,1532
Voxmeter,15 May 2019,-21,28.2,11.5,17.2,10.5,4.1,2.5,7.6,7.7,4.9,1.3,1.9,43.3,56.5,1010
YouGov,15 May 2019,-21,26.7,12.6,15.6,8.8,2.5,3.4,7.3,7.4,7.3,0.8,2.9,46.6,56.2,939
Voxmeter,14 May 2019,-22,28.7,11.9,17.8,10.2,3.7,2.9,7.1,7.3,5.4,1.3,1.5,43.7,56.2,1067
Epinion,13 May 2019,-23,27.1,11.6,18.4,9.5,3.7,3.3,7.4,8.0,4.5,0.5,2.6,44.6,55.3,1548
Voxmeter,13 May 2019,-23,28.5,11.6,18.6,9.9,3.3,3.3,6.8,7.0,5.2,1.3,1.7,44.3,55.5,1004
YouGov,12 May 2019,-24,29.1,11.2,17.2,7.3,2.4,4.0,6.8,6.8,5.8,0.6,4.3,46.0,54.0,964
Voxmeter,12 May 2019,-24,28.2,12.0,19.1,9.6,3.4,3.4,6.9,6.7,4.7,1.6,1.5,45.2,54.8,1003
YouGov,11 May 2019,-25,27.7,11.8,17.5,7.6,2.9,4.3,5.8,7.5,5.6,0.7,4.2,47.1,52.9,1041
Voxmeter,11 May 2019,-25,27.7,11.8,19.7,9.3,3.9,3.1,7.4,6.8,4.3,1.5,1.6,45.1,54.3,1012
Norstat,10 May 2019,-26,27.3,11.4,16.5,10.5,3.3,3.4,6.3,7.5,5.9,1.3,2.4,44.5,55.0,1207
Voxmeter,10 May 2019,-26,27.9,11.3,19.8,9.6,4.1,2.8,7.8,7.0,3.9,1.8,1.8,44.5,55.1,1011
Megafon,10 May 2019,-26,24.7,10.8,19.2,9.4,3.8,2.9,8.4,8.0,5.0,1.4,2.8,46.5,53.4,1010
Norstat,8 May 2019,-28,28.2,12.7,17.3,9.2,3.7,3.8,6.3,6.8,4.3,1.4,2.1,45.5,54.3,1207
YouGov,8 May 2019,-28,26.5,10.8,17.4,7.9,3.2,4.7,6.5,8.4,4.6,0.5,5.0,46.0,54.0,983
Gallup,8 May 2019,-28,24.3,12.5,17.9,9.2,4.1,3.1,8.4,7.2,4.8,1.1,2.7,45.6,54.4,1690
Megafon,7 May 2019,-29,25.2,11.6,19.6,9.2,3.0,3.4,8.7,7.8,4.6,1.2,2.7,44.5,55.5,1000
Epinion,7 May 2019,-29,28.1,13.9,17.5,8.9,3.6,4.3,5.5,7.1,5.2,0.4,2.9,46.3,53.8,1616
Voxmeter,6 May 2019,-30,27.5,12.2,19.4,10.5,4.8,3.2,7.1,6.7,3.5,1.0,0.9,44.4,55.0,1045
YouGov,3 May 2019,-33,23.0,11.2,17.1,9.1,3.3,3.4,6.6,8.6,5.9,0.9,6.3,49.4,50.7,1656
Megafon,2 May 2019,-34,24.7,12.6,18.4,9.8,3.3,3.5,8.8,7.5,4.2,0.5,2.6,45.6,54.3,1008
YouGov,29 Apr 2019,-37,25.8,12.2,17.6,9.4,4.2,3.8,6.7,7.8,5.0,0.9,5.0,46.0,53.5,1890
Voxmeter,28 Apr 2019,-38,27.5,13.6,19.2,9.3,4.2,3.7,7.6,5.6,3.8,0.9,2.5,44.4,54.1,1021
Voxmeter,21 Apr 2019,-45,28.9,15.0,19.0,9.3,4.1,3.1,6.8,6.2,4.3,0.9,2.0,45.4,54.3,1031
Megafon,17 Apr 2019,-49,25.1,13.6,18.4,9.3,4.4,3.3,7.8,8.1,4.1,0.8,3.6,46.2,53.6,1008
Voxmeter,13 Apr 2019,-53,28.5,14.0,18.8,9.8,4.8,2.9,6.9,6.2,4.1,1.3,2.2,45.4,54.3,1023
Epinion,9 Apr 2019,-57,29.0,13.4,18.5,9.6,4.2,2.4,6.3,7.9,4.6,0.4,2.7,44.7,55.2,1540
Voxmeter,7 Apr 2019,-59,27.9,14.8,18.3,8.6,4.4,3.4,7.2,6.4,4.6,0.9,2.8,46.1,53.5,1030
Greens,1 Apr 2019,-65,30.4,14.4,15.8,9.0,4.0,3.0,5.8,7.0,4.6,1.2,3.3,44.3,55.2,1078
Voxmeter,31 Mar 2019,-66,28.7,15.4,18.7,8.3,4.0,4.0,7.2,5.7,4.3,0.9,1.9,45.6,53.9,1056
Megafon,28 Mar 2019,-69,25.4,12.6,17.3,9.1,4.8,3.7,8.1,7.2,5.4,1.1,3.8,46.3,53.5,1006
Epinion,25 Mar 2019,-72,29.5,15.1,17.0,9.4,3.9,3.1,5.7,6.9,5.2,0.5,3.1,45.4,54.6,1509
Voxmeter,24 Mar 2019,-73,28.1,15.1,19.3,8.8,4.3,3.4,6.7,5.9,4.5,0.7,1.9,46.7,52.9,1044
Voxmeter,17 Mar 2019,-80,27.7,14.6,18.9,9.2,4.9,3.6,7.0,6.2,4.1,0.5,2.1,45.9,53.7,1062
Gallup,14 Mar 2019,-83,26.0,13.7,19.7,7.9,5.4,3.7,6.9,6.7,5.2,0.9,2.6,48.8,51.2,1587
Voxmeter,9 Mar 2019,-88,28.6,14.2,18.6,9.0,5.3,4.3,7.2,5.7,3.8,0.4,1.7,44.5,54.8,1037
YouGov,3 Mar 2019,-94,26.7,15.5,15.9,8.8,5.0,4.2,6.1,5.9,4.7,0.9,4.9,48.2,51.7,1738
Megafon,28 Feb 2019,-97,24.4,13.4,18.0,10.1,5.4,3.8,7.0,8.0,3.8,1.4,3.4,46.7,53.3,1009
Norstat,26 Feb 2019,-99,28.8,15.7,18.6,8.0,4.0,3.2,5.6,6.2,4.1,1.1,2.6,46.3,51.8,1205
Epinion,25 Feb 2019,-100,28.2,15.2,17.8,9.7,4.5,3.5,6.1,5.9,3.8,0.7,2.8,46.6,53.4,1532
Voxmeter,24 Feb 2019,-101,28.1,14.8,18.6,9.1,5.0,3.7,6.7,5.9,3.6,0.7,2.0,46.1,53.5,1032
Voxmeter,17 Feb 2019,-108,29.0,15.4,18.1,8.6,5.7,4.1,6.3,5.2,3.6,1.1,1.9,45.8,53.2,1022
Voxmeter,9 Feb 2019,-116,28.3,15.8,17.9,8.6,6.0,3.7,6.8,5.8,3.8,1.0,1.9,46.4,53.2,1032
Voxmeter,3 Feb 2019,-122,27.5,16.2,18.4,9.0,5.3,3.2,7.2,5.5,4.2,1.1,2.0,47.2,52.4,1045
Megafon,31 Jan 2019,-125,25.8,15.8,17.0,8.9,3.3,4.5,8.3,7.5,4.7,0.8,3.2,44.8,55.0,1007
Voxmeter,27 Jan 2019,-129,28.1,16.8,18.9,8.5,4.6,3.7,6.9,5.0,4.0,0.9,2.2,47.4,52.2,1039
Norstat,22 Jan 2019,-134,26.4,17.6,19.3,7.9,4.3,4.2,5.3,6.4,3.8,1.2,3.1,49.3,50.2,1207
Epinion,21 Jan 2019,-135,27.9,16.6,17.5,8.9,4.6,4.1,6.2,6.7,4.0,0.6,2.8,46.1,53.8,1745
Voxmeter,20 Jan 2019,-136,26.9,17.8,18.3,8.8,4.3,3.6,7.5,5.6,3.5,1.2,2.1,47.2,52.4,1032
YouGov,14 Jan 2019,-142,23.8,15.9,17.7,10.2,4.6,4.0,6.2,6.1,4.8,1.0,5.7,49.7,50.3,1917
Voxmeter,12 Jan 2019,-144,26.4,18.2,17.9,9.9,4.7,3.8,6.9,4.8,4.1,1.1,1.9,47.9,51.8,1027
Voxmeter,6 Jan 2019,-150,25.8,17.7,19.1,9.6,5.2,3.7,6.6,5.0,4.3,0.8,2.1,49.2,50.7,1048
