Polling firm,Date,T-Days,LAB,NAT,GRN,ACT,TPM,NZF,Sample size
1 News–Verian,10 Oct 2023,-4,28.0,37.0,14.0,9.0,1.7,6.0,1001
Roy Morgan,8 Oct 2023,-6,26.0,30.5,15.0,11.5,3.0,7.5,1250
Guardian Essential,8 Oct 2023,-6,30.3,34.0,10.6,7.9,1.9,8.2,1200
Taxpayers' Union-Curia,4 Oct 2023,-10,27.9,35.9,10.6,9.1,3.7,6.9,1000
1 News–Verian,3 Oct 2023,-11,26.0,36.0,13.0,10.0,2.2,6.0,1000
Talbot Mills,28 Sep 2023,-16,27.0,38.0,13.0,9.0,3.1,6.4,1027
1 News–Verian,26 Sep 2023,-18,26.0,36.0,13.0,12.0,1.9,6.0,1002
1 News–Verian,19 Sep 2023,-25,27.0,37.0,12.0,12.0,2.9,5.0,1001
1 News–Verian,12 Sep 2023,-32,28.0,39.0,10.0,10.0,2.6,5.0,1002
Guardian Essential,10 Sep 2023,-34,26.9,34.5,11.0,10.3,2.5,6.0,1154
Taxpayers' Union–Curia,6 Sep 2023,-38,26.5,35.0,12.7,14.3,2.9,3.9,1000
The Post–Freshwater Strategy,30 Aug 2023,-45,26.0,36.0,12.0,11.0,3.0,6.0,1511
Roy Morgan,27 Aug 2023,-48,24.0,31.0,12.5,18.0,4.0,5.5,1046
1 News–Verian,16 Aug 2023,-59,29.0,37.0,12.0,13.0,2.6,3.7,1002
Taxpayers' Union–Curia,8 Aug 2023,-67,27.1,34.9,12.0,13.0,2.5,5.8,1000
Talbot Mills,7 Aug 2023,-68,32.0,35.0,10.0,11.0,3.1,4.4,1012
Guardian Essential,6 Aug 2023,-69,29.0,34.5,8.5,11.6,2.5,5.3,1163
Roy Morgan,23 Jul 2023,-83,26.0,33.5,9.0,14.0,6.0,5.0,937
1 News–Verian,12 Jul 2023,-94,33.0,35.0,10.0,12.0,2.8,3.1,1000
Taxpayers' Union–Curia,10 Jul 2023,-96,31.1,33.3,8.9,13.2,5.0,3.3,1000
Talbot Mills,2 Jul 2023,-104,31.0,36.0,8.0,12.0,4.2,4.0,1036
Roy Morgan,25 Jun 2023,-111,30.5,30.0,9.5,15.0,7.0,3.0,955
Talbot Mills,6 Jun 2023,-130,36.0,35.0,7.0,11.0,3.65,2.9,1001
Taxpayers' Union–Curia,6 Jun 2023,-130,32.9,35.7,9.7,12.7,3.5,1.6,1000
1 News–Kantar Public,24 May 2023,-143,35.0,37.0,7.0,11.0,2.4,3.0,1002
Roy Morgan,21 May 2023,-146,31.0,31.5,12.0,13.5,4.5,3.5,952
Horizon Research,17 May 2023,-150,34.4,26.5,9.5,12.3,4.3,5.3,1563
Taxpayers' Union–Curia,7 May 2023,-160,33.8,35.6,7.0,12.7,3.7,2.6,1000
Talbot Mills,3 May 2023,-164,33.0,36.0,9.0,10.0,4.1,3.4,1046
Roy Morgan,23 Apr 2023,-174,30.0,32.0,12.0,12.5,4.5,4.5,929
Taxpayers' Union–Curia,5 Apr 2023,-192,36.9,36.5,6.7,9.5,2.9,2.6,1000
Roy Morgan,26 Mar 2023,-202,33.0,32.0,10.5,13.0,2.0,3.0,943
Talbot Mills,9 Mar 2023,-219,37.0,34.0,8.0,12.0,3.2,2.9,1021
1 News–Kantar Public,8 Mar 2023,-220,36.0,34.0,11.0,11.0,2.6,3.1,1002
Taxpayers' Union–Curia,7 Mar 2023,-221,35.5,34.8,5.7,9.3,1.4,4.2,1000
Roy Morgan,26 Feb 2023,-230,33.0,32.0,12.5,13.5,3.5,2.0,943
Taxpayers' Union–Curia,9 Feb 2023,-247,34.4,34.4,7.8,11.7,2.1,2.9,1000
Roy Morgan,29 Jan 2023,-258,30.0,32.0,12.0,13.5,4.5,5.0,948
1 News–Kantar Public,29 Jan 2023,-258,38.0,37.0,7.0,10.0,1.4,2.2,1008
Horizon Research,28 Jan 2023,-259,35.5,27.7,9.0,13.0,4.6,4.5,1147
Taxpayers' Union–Curia,16 Jan 2023,-271,31.7,37.2,10.6,10.8,1.6,2.8,1000
Roy Morgan,1 Dec 2022,-317,27.5,35.0,11.0,14.5,4.0,4.0,947
Taxpayers' Union–Curia,6 Dec 2022,-312,33.1,39.4,8.1,10.4,3.5,2.9,1000
1 News–Kantar Public,30 Nov 2022,-318,33.0,38.0,9.0,11.0,2.0,3.6,1011
Roy Morgan,27 Nov 2022,-321,25.5,39.0,12.0,11.0,4.0,3.5,926
Taxpayers' Union–Curia,8 Nov 2022,-340,35.3,37.6,7.8,9.9,1.6,3.8,1000
Horizon Research,25 Oct 2022,-354,29.7,26.6,13.0,13.5,2.2,7.2,1154
Roy Morgan,23 Oct 2022,-356,29.0,32.0,15.5,12.5,3.0,3.5,951
Taxpayers' Union–Curia,11 Oct 2022,-368,34.4,39.2,7.2,9.4,2.1,2.1,1000
Roy Morgan,25 Sep 2022,-384,29.5,36.0,12.5,12.5,3.5,1.0,942
1 News–Kantar Public,21 Sep 2022,-388,34.0,37.0,9.0,9.0,1.6,3.0,1001
Taxpayers' Union–Curia,9 Sep 2022,-400,33.4,37.0,9.9,12.4,1.5,1.6,1000
Roy Morgan,21 Aug 2022,-419,35.0,35.5,9.0,10.5,5.0,1.5,947
Taxpayers' Union–Curia,11 Aug 2022,-429,35.2,34.0,9.5,11.0,3.5,2.6,1200
1 News–Kantar Public,3 Aug 2022,-437,33.0,37.0,9.0,11.0,2.3,2.6,1023
Horizon Research,3 Aug 2022,-437,34.1,31.4,10.2,10.7,2.2,3.5,1044
Roy Morgan,1 Jul 2022,-470,34.0,35.0,10.5,11.0,4.0,1.5,937
Taxpayers' Union–Curia,10 Jul 2022,-461,34.7,37.0,8.5,10.0,3.7,2.8,1200
Roy Morgan,26 Jun 2022,-475,33.5,39.0,10.0,9.5,1.5,1.5,947
Taxpayers' Union–Curia,12 Jun 2022,-489,34.2,37.4,8.3,9.4,1.8,2.3,1200
Talbot Mills,10 Jun 2022,-491,36.0,35.0,10.0,8.0,3.1,3.3,1200
Roy Morgan,22 May 2022,-510,31.5,40.0,11.5,10.0,1.0,3.0,934
1 News–Kantar Public,25 May 2022,-507,35.0,39.0,10.0,7.0,1.9,1.3,1002
Taxpayers' Union–Curia,11 May 2022,-521,34.2,36.8,9.7,10.9,2.4,1.8,1000
Newshub–Reid Research,27 Apr 2022,-535,38.2,40.5,8.4,6.4,2.5,1.7,1000
Roy Morgan,24 Apr 2022,-538,33.5,37.5,10.5,10.0,1.5,2.5,918
Taxpayers' Union–Curia,13 Apr 2022,-549,36.8,37.8,9.4,8.4,3.6,1.7,1000
Roy Morgan,27 Mar 2022,-566,32.0,38.0,10.5,9.0,2.0,4.0,944
Taxpayers' Union–Curia,15 Mar 2022,-578,36.2,35.3,12.4,11.2,0.2,1.8,1000
1 News–Kantar Public,8 Mar 2022,-585,37.0,39.0,9.0,8.0,2.3,2.2,1000
Roy Morgan,27 Feb 2022,-594,32.0,38.0,11.0,11.5,2.0,2.0,963
Taxpayers' Union–Curia,10 Feb 2022,-611,42.3,38.4,6.3,6.6,1.0,1.5,1000
Newshub–Reid Research,4 Feb 2022,-617,44.3,31.3,9.6,8.0,2.0,1.8,1000
Roy Morgan,30 Jan 2022,-622,33.0,35.0,10.5,13.5,2.5,2.5,951
1 News–Kantar Public,26 Jan 2022,-626,40.0,32.0,9.0,11.0,1.6,1.8,1000
Taxpayers' Union–Curia,17 Jan 2022,-635,41.2,33.0,10.7,11.5,0.5,0.9,1000
Roy Morgan,19 Dec 2021,-664,35.5,31.5,8.5,18.5,1.0,2.0,967
Taxpayers' Union–Curia,8 Dec 2021,-675,39.5,32.6,10.9,10.6,3.0,2.3,1000
Roy Morgan,21 Nov 2021,-692,36.0,26.5,10.5,17.5,3.0,2.5,951
Newshub–Reid Research,17 Nov 2021,-696,42.7,26.9,7.2,16.0,2.1,2.5,1000
1 News–Kantar Public,10 Nov 2021,-703,41.0,28.0,9.0,14.0,0.9,3.3,1001
Taxpayers' Union–Curia,8 Nov 2021,-705,39.3,26.2,8.6,15.9,2.3,1.7,1000
Labour–Talbot Mills,3 Nov 2021,-710,41.0,24.0,9.0,17.0,2.4,4.2,1023
Roy Morgan,24 Oct 2021,-720,39.5,26.0,10.5,16.0,2.0,2.5,929
Taxpayers' Union–Curia,11 Oct 2021,-733,44.8,22.5,6.4,16.6,1.5,3.6,1000
Labour–Talbot Mills,5 Oct 2021,-739,46.0,22.0,7.0,16.0,1.9,3.8,1200
Roy Morgan,26 Sep 2021,-748,45.5,23.0,9.5,16.0,2.0,1.5,940
1 News–Kantar Public,26 Sep 2021,-748,43.0,26.0,8.0,14.0,2.1,2.5,1001
Taxpayers' Union–Curia,9 Sep 2021,-765,45.8,21.3,9.6,14.9,1.2,2.7,1000
Labour–Talbot Mills,6 Sep 2021,-768,45.0,26.0,6.0,13.0,2.0,4.1,1050
Roy Morgan,22 Aug 2021,-783,39.5,25.0,12.0,13.0,2.5,2.5,940
Labour–Talbot Mills,1 Aug 2021,-804,43.0,28.0,7.0,13.0,1.7,4.4,1216
Newshub–Reid Research,29 Jul 2021,-807,43.0,28.7,8.5,11.1,1.9,3.4,1000
Roy Morgan,25 Jul 2021,-811,39.5,29.0,10.0,13.0,2.5,2.0,945
Labour–Talbot Mills,1 Jul 2021,-835,48.0,24.0,8.0,11.0,1.5,5.0,1199
Roy Morgan,27 Jun 2021,-839,38.5,29.5,12.5,11.5,2.5,1.5,927
1 News–Kantar Public,26 May 2021,-871,46.0,29.0,8.0,9.0,1.8,1.2,1002
Roy Morgan,23 May 2021,-874,45.0,28.5,11.0,9.0,1.5,2.0,932
Newshub–Reid Research,13 May 2021,-884,52.7,27.0,7.1,6.9,1.2,1.9,1000
Roy Morgan,25 Apr 2021,-902,41.5,29.5,13.5,9.0,2.5,1.0,933
Roy Morgan,28 Mar 2021,-930,45.5,23.0,12.0,11.0,1.0,2.5,924
1 News–Kantar Public,13 Mar 2021,-945,49.0,27.0,9.0,8.0,1.5,1.8,1006
Roy Morgan,21 Feb 2021,-965,45.0,29.0,13.5,7.5,1.0,1.5,924
Roy Morgan,24 Jan 2021,-993,47.0,25.0,11.5,9.0,2.0,2.0,937
Roy Morgan,13 Dec 2020,-1035,44.0,28.0,10.5,10.0,2.0,2.0,923
1 News–Kantar Public,2 Dec 2020,-1046,53.0,25.0,8.0,8.0,1.5,1.6,1004
Roy Morgan,22 Nov 2020,-1056,44.0,25.5,12.5,10.5,1.5,1.0,939
