Polling firm,Date,Source,Lib,NDP,Grn,Con,Oth,Type of poll,Sample size
Ipsos Reid,"May 13, 2013",,37,45,9,6,3,Online,800
Angus Reid,"May 13, 2013",,36,45,9,7,3,Online,803
EKOS,"May 12, 2013",,34.5,40.5,13.0,9.3,2.7,IVR,861
Angus Reid,"May 10, 2013",[permanent dead link],36,45,9,6,4,Online,808
Justason Market Intelligence,"May 9, 2013",,31,45,14,8,3,Online,700
Ipsos Reid,"May 9, 2013",,37,43,10,7,3,Online,800
Forum Research,"May 8, 2013",,41,43,8,6,2,IVR,"1,147"
Hill & Knowlton,"May 8, 2013",,34.6,41.1,13.6,7.5,3.3,Online,804
Oraclepoll Research,"May 7, 2013",,37,41,12,10,,Telephone,"1,000"
Campaign Research,"May 2, 2013",[permanent dead link],35,38,13,10,5,IVR,"1,303"
Angus Reid,"May 2, 2013",[permanent dead link],34,41,12,10,3,Online,808
Ipsos Reid,"May 2, 2013",,35,45,10,7,3,Online,"1,000"
Insights West,"May 2, 2013",,33,41,14,11,1,Online,855
Forum Research,"April 30, 2013",,35,39,12,9,3,IVR,"1,055"
Abacus Data,"April 26, 2013",,33,43,12,9,3,Online,"1,042"
Angus Reid,"April 25, 2013",,31,45,10,11,3,Online,812
Justason Market Intelligence,"April 23, 2013",,27,49,12,11,2,Telephone/online,600
Ipsos Reid,"April 14, 2013",,29,48,9,11,3,Online,800
Angus Reid,"April 13, 2013",,28,45,13,12,3,Online,804
EKOS,"April 10, 2013",,28.4,44.9,11.1,13.0,2.7,IVR,917
Insights West,"March 31, 2013",,28,45,15,10,2,Online,855
Angus Reid,"March 19, 2013",[permanent dead link],28,48,11,11,2,Online,809
Campaign Research,"March 12, 2013",,33,38,12,13,4,IVR,"1,112"
Ipsos Reid,"March 12, 2013",,32,51,7,9,1,Online,"1,000"
Angus Reid,"February 22, 2013",,31,47,10,9,3,Online,803
EKOS,"February 10, 2013",,27.4,39.0,13.5,14.6,5.5,IVR,687
Justason Market Intelligence,"February 1, 2013",,26,48,11,12,3,Telephone/online,600
Mustel Group,"January 21, 2013",,33,43,11,11,2,Telephone,509
Angus Reid,"January 18, 2013",,31,46,10,10,3,Online,802
Ipsos Reid,"November 30, 2012",,35,48,7,9,1,Online,"1,000"
Angus Reid,"November 22, 2012",[permanent dead link],29,47,9,12,2,Online,800
Angus Reid,"October 10, 2012",[permanent dead link],26,49,7,16,2,Online,800
Justason Market Intelligence,"October 1, 2012",,28,48,13,9,1,Telephone/online,539
Ipsos Reid,"September 18, 2012",,32,49,6,12,1,Online,"1,006"
Angus Reid,"September 11, 2012",,25,46,8,19,1,Online,800
Environics,"August 31, 2012",,25.4,44.8,7.8,19.8,2.2,Online,854
Forum Research,"August 30, 2012",,23,45,10,20,2,IVR,902
Angus Reid,"August 1, 2012",[permanent dead link],22,49,9,19,2,Online,804
Forum Research,"July 31, 2012",,23,49,9,18,2,IVR,"1,064"
Angus Reid,"July 5, 2012",[permanent dead link],23,45,8,22,2,Online,801
Forum Research,"June 12, 2012",,20,50,11,19,0,IVR,"1,014"
Ipsos Reid,"June 11, 2012",,29,48,6,16,1,Online,"1,026"
Angus Reid,"May 9, 2012",[permanent dead link],23,50,6,19,2,Online,802
Forum Research,"May 2, 2012",,23,48,8,19,1,IVR,"1,054"
Forum Research,"April 11, 2012",,23,46,8,23,1,IVR,"1,069"
Angus Reid,"March 30, 2012",[permanent dead link],23,43,8,23,3,Online,800
Forum Research,"March 19, 2012",,21,47,9,21,2,IVR,"1,063"
Mustel Group,"March 19, 2012",,34,42,6,17,2,Telephone,518
Justason Market Intelligence,"March 7, 2012",,31,45,8,14,2,Telephone/online,611