Polling firm,Date,"Sample size",Abs.,Union,SPD,Linke,Grune,FDP,AfD,Others,Lead
INSA,21–22 Sep 2017,"2,000",–,34,21,11,8,9,13,4,13
Forschungsgruppe Wahlen,20–21 Sep 2017,"1,725",–,36,21.5,8.5,8,10,11,5,14.5
Forsa,18–21 Sep 2017,"2,006",–,36,22,9.5,7,9.5,11,5,14
Emnid,14–21 Sep 2017,"1,994",–,35,22,10,8,9,11,5,13
GMS,14–20 Sep 2017,"1,004",–,37,22,9,8,9,10,5,15
YouGov,15–19 Sep 2017,"1,862",–,36,23,10,7,9,10,5,13
INSA,15–18 Sep 2017,"2,042",–,36,22,11,7,9,11,4,14
Forsa,11–15 Sep 2017,"2,501",–,36,23,10,8,9,9,5,13
Forschungsgruppe Wahlen,12–14 Sep 2017,"1,383",–,36,23,9,8,10,10,4,13
Allensbach,6–14 Sep 2017,"1,083",–,36.5,22,9,8,11,10,3.5,14.5
Infratest dimap,12–13 Sep 2017,"1,503",–,37,20,9,7.5,9.5,12,5,17
Emnid,7–13 Sep 2017,"1,888",–,36,22,10,8,9,11,4,14
Trend Research,10–12 Sep 2017,"1,042",–,36,22,10,7,9,11,4,14
YouGov,8–12 Sep 2017,"1,600",–,36,23,10,8,9,10,4,13
INSA,8–11 Sep 2017,"2,054",–,36.5,23.5,10.5,6,9,11,3.5,13
Forsa,4–8 Sep 2017,"2,505",26,37,23,10,8,8,9,5,14
Forschungsgruppe Wahlen,5–7 Sep 2017,"1,378",–,38,22,9,8,9,9,5,16
Forsa,4–7 Sep 2017,"2,001",–,37,23,10,8,9,9,4,14
Infratest dimap,4–6 Sep 2017,"1,503",–,37,21,10,8,9,11,4,16
YouGov,4–6 Sep 2017,"1,617",–,34,24,9,7,9,11,6,10
Trend Research,3–6 Sep 2017,"1,045",–,37,24,10,7,8,10,5,13
Emnid,31 Aug–6 Sep 2017,"1,869",–,37,24,9,8,8,9,5,13
GMS,31 Aug–6 Sep 2017,"1,012",–,38,22,9,9,10,8,4,16
INSA,1–4 Sep 2017,"2,048",–,36.5,23.5,10,6.5,8.5,10.5,4.5,13
Forsa,28 Aug–1 Sep 2017,"2,503",28,38,23,9,8,8,9,5,15
Forschungsgruppe Wahlen,29–31 Aug 2017,"1,309",–,39,22,9,8,10,8,4,17
Allensbach,22–31 Aug 2017,"1,043",–,38.5,24,8,7.5,10,8,4,14.5
Infratest dimap,28–30 Aug 2017,"1,411",–,37,23,9,8,8,11,4,14
Emnid,24–30 Aug 2017,"1,889",–,38,24,9,8,8,8,5,14
YouGov,25–29 Aug 2017,"1,557",–,36,25,10,7,7,10,5,11
INSA,25–28 Aug 2017,"2,034",–,37,24,10,6.5,8,10,4.5,13
Trend Research,24–28 Aug 2017,"1,049",–,38,23,9,6,9,10,5,15
Forsa,21–25 Aug 2017,"2,501",26,38,24,9,7,8,9,5,14
Forschungsgruppe Wahlen,22–24 Aug 2017,"1,283",–,39,22,9,8,9,9,4,17
Infratest dimap,22–23 Aug 2017,"1,035",–,38,22,9,8,9,10,4,16
Emnid,17–23 Aug 2017,"1,979",–,38,23,9,7,9,8,6,15
YouGov,18–22 Aug 2017,"1,520",–,37,25,9,7,8,9,5,12
Forsa,14–18 Aug 2017,"2,501",24,38,24,9,7,8,9,5,14
Allensbach,4–17 Aug 2017,"1,421",–,39.5,24,8,7.5,10,7,4,15.5
INSA,18–21 Aug 2017,"2,036",–,38,24,9,7,9,10,3,14
Emnid,10–16 Aug 2017,"1,426",–,39,24,9,8,8,7,5,15
YouGov,11–15 Aug 2017,"1,538",–,37,25,9,7,9,9,4,12
GMS,8–15 Aug 2017,"1,007",–,40,22,8,8,9,7,6,18
INSA,11–14 Aug 2017,"2,025",–,37,25,9,7,9,10,3,12
Forsa,7–11 Aug 2017,"2,507",26,39,23,9,8,8,8,5,16
Forschungsgruppe Wahlen,8–10 Aug 2017,"1,277",–,40,24,8,8,8,8,4,16
Emnid,3–9 Aug 2017,"1,886",–,38,24,10,7,8,8,5,14
YouGov,4–8 Aug 2017,"1,513",–,38,24,9,6,9,9,5,14
Infratest dimap,4–8 Aug 2017,"1,505",–,39,24,9,8,8,8,4,15
INSA,4–7 Aug 2017,"2,046",–,37,25,10.5,6.5,9,9,3,12
Forsa,31 Jul–4 Aug 2017,"2,503",24,40,23,8,8,7,8,6,17
Emnid,27 Jul–2 Aug 2017,"2,453",–,38,23,10,8,8,8,5,15
YouGov,28 Jul–1 Aug 2017,"2,000",–,37,25,9,7,9,8,5,12
INSA,28–31 Jul 2017,"2,046",–,37,24.5,10,7,9,9.5,3,12.5
Forsa,24–28 Jul 2017,"2,501",23,40,22,8,8,8,8,6,18
Infratest dimap,25–26 Jul 2017,"1,004",–,40,23,8,8,8,9,4,17
Emnid,20–26 Jul 2017,"1,921",–,38,24,9,8,8,9,4,14
YouGov,21–25 Jul 2017,"2,000",–,38,25,9,7,9,8,4,13
INSA,21–24 Jul 2017,"2,009",–,37.5,25,10.5,6.5,8.5,9,3,12.5
Forsa,17–21 Jul 2017,"2,507",23,40,22,9,8,8,7,6,18
Forschungsgruppe Wahlen,18–20 Jul 2017,"1,277",–,40,24,8,8,8,8,4,16
Emnid,13–19 Jul 2017,"2,349",–,38,25,9,8,8,8,4,13
INSA,14–17 Jul 2017,"2,026",–,36,25,9.5,6.5,8.5,10,4.5,11
Forsa,10–14 Jul 2017,"2,502",23,40,22,9,8,8,7,6,18
YouGov,10–12 Jul 2017,"1,535",–,38,24,9,8,9,8,4,14
Emnid,6–12 Jul 2017,"1,263",–,38,25,9,8,7,8,5,13
Allensbach,1–12 Jul 2017,"1,403",–,39.5,25,9,7,9,7,3.5,14.5
Ipsos,7–11 Jul 2017,"1,047",–,39,26,8,7,8,8,4,13
INSA,7–10 Jul 2017,"2,009",–,36,25,9.5,6.5,9,9.5,4.5,11
Forsa,3–7 Jul 2017,"2,501",22,39,22,9,8,8,8,6,17
Forschungsgruppe Wahlen,4–6 Jul 2017,"1,321",–,40,24,9,8,8,7,4,16
Infratest dimap,3–5 Jul 2017,"1,500",–,39,23,9,8,9,9,3,16
Emnid,30 Jun–5 Jul 2017,"1,878",–,38,25,9,8,8,7,5,13
GMS,29 Jun–5 Jul 2017,"1,009",–,39,23,8,9,9,7,5,16
INSA,30 Jun–3 Jul 2017,"2,044",–,36.5,25,10.5,6.5,9,9,3.5,11.5
Forsa,26–30 Jun 2017,"2,503",21,39,23,9,8,8,7,6,16
Forsa,26–28 Jun 2017,"1,507",–,40,23,9,9,8,7,4,17
YouGov,26–28 Jun 2017,"2,000",–,38,25,9,8,8,8,4,13
Ipsos,23–26 Jun 2017,"1,052",–,39,25,8,7,8,9,4,14
INSA,23–26 Jun 2017,"2,056",–,37,26,10,6.5,9,8.5,3,11
Emnid,22–24 Jun 2017,936,–,39,24,9,8,8,7,5,15
Forsa,19–23 Jun 2017,"2,502",22,40,23,9,9,7,7,5,17
Forschungsgruppe Wahlen,20–22 Jun 2017,"1,261",–,39,25,9,8,8,7,4,14
YouGov,19–22 Jun 2017,"1,523",–,36,25,10,8,9,7,5,11
Emnid,16–21 Jun 2017,"1,363",–,39,24,9,8,7,8,5,15
INSA,16–19 Jun 2017,"2,037",–,36.5,25,11,6.5,9,9,3,11.5
Forsa,12–16 Jun 2017,"2,505",23,39,23,10,8,8,7,5,16
Allensbach,1–15 Jun 2017,"1,437",–,40,24,8.5,7,10.5,6.5,3.5,16
Emnid,8–13 Jun 2017,"2,054",–,39,25,9,7,7,8,5,14
Infratest dimap,12–13 Jun 2017,"1,018",–,39,24,8,7,9,8,5,15
Ipsos,9–12 Jun 2017,"1,054",–,38,26,8,7,7,9,4,12
INSA,9–12 Jun 2017,"2,037",–,37.5,23.5,11,6.5,9,9,3.5,14
Forsa,6–9 Jun 2017,"2,004",21,38,24,8,8,9,7,6,14
Infratest dimap,6–7 Jun 2017,"1,503",–,38,24,8,7,10,9,4,14
Emnid,1–7 Jun 2017,"1,398",–,39,25,9,8,7,8,4,14
INSA,2–6 Jun 2017,"2,037",–,38,23,11,7,9,8,4,15
Forsa,29 May–2 Jun 2017,"2,501",20,39,24,8,8,8,7,6,15
Forschungsgruppe Wahlen,30 May–1 Jun 2017,"1,301",–,39,25,9,7,8,8,4,14
YouGov,29–31 May 2017,"2,040",–,37,23,10,8,9,9,4,14
GMS,26–31 May 2017,"1,016",–,39,23,8,8,10,8,4,16
Emnid,24–31 May 2017,"1,838",–,38,27,8,7,7,8,5,11
Ipsos,26–29 May 2017,"1,093",–,38,28,8,7,7,8,4,10
INSA,26–29 May 2017,"2,053",–,35.5,26,10,6,10,9,3.5,9.5
Forsa,22–26 May 2017,"2,001",20,38,25,8,7,9,7,6,13
Emnid,18–23 May 2017,"1,703",–,38,25,8,8,8,8,5,13
INSA,19–22 May 2017,"2,042",–,36.5,26,10,6,9.5,8,4,10.5
Forsa,15–19 May 2017,"2,502",22,39,25,8,7,9,7,5,14
Allensbach,5–19 May 2017,"1,457",–,37,26,8,8,9,8,4,11
Forschungsgruppe Wahlen,16–18 May 2017,"1,344",–,38,27,9,7,8,7,4,11
Infratest dimap,16–17 May 2017,"1,017",–,38,26,6,8,9,9,4,12
YouGov,15–17 May 2017,"2,000",–,38,25,9,7,9,9,3,13
Emnid,11–17 May 2017,"2,413",–,38,26,9,7,7,8,5,12
INSA,12–15 May 2017,"2,037",–,36,27,9,6,8,10,4,9
Ipsos,12–14 May 2017,"1,049",–,37,29,8,7,6,8,5,8
Forsa,8–12 May 2017,"2,506",24,38,26,8,7,8,7,6,12
YouGov,8–11 May 2017,"2,010",–,37,25,8,7,9,9,5,12
Infratest dimap,8–10 May 2017,"1,500",–,37,27,7,8,8,10,3,10
Emnid,4–10 May 2017,"1,837",–,37,27,10,8,6,8,4,10
INSA,5–8 May 2017,"2,067",–,35,27,10,7,7,10,4,8
Forsa,2–5 May 2017,"2,004",23,36,29,8,7,7,7,6,7
GMS,30 Apr–3 May 2017,"1,004",–,36,29,8,7,7,9,4,7
Emnid,27 Apr–3 May 2017,"1,935",–,36,28,9,7,6,9,5,8
Ipsos,28 Apr–2 May 2017,"1,059",–,36,30,8,7,5,9,5,6
INSA,28 Apr–2 May 2017,"2,035",–,34,28.5,10.5,6.5,7,9,4.5,5.5
YouGov,27 Apr–2 May 2017,"1,957",–,35,28,9,7,7,9,5,7
Forsa,24–28 Apr 2017,"2,502",23,36,28,8,8,7,8,5,8
Forschungsgruppe Wahlen,25–27 Apr 2017,"1,328",–,37,29,9,8,6,8,3,8
Emnid,20–26 Apr 2017,"2,439",–,36,29,9,7,6,9,4,7
INSA,21–24 Apr 2017,"2,041",–,34,30,9.5,6.5,6.5,10,3.5,4
Forsa,18–21 Apr 2017,"2,002",24,36,30,8,7,6,9,4,6
Infratest dimap,18–19 Apr 2017,934,–,35,30,8,7,6,10,4,5
Emnid,13–19 Apr 2017,"1,412",–,36,31,9,6,5,9,4,5
INSA,14–18 Apr 2017,"2,038",–,34,30.5,9,6,6.5,10,4,3.5
Ipsos,13–18 Apr 2017,"1,056",–,35,30,8,7,5,10,5,5
Forsa,10–13 Apr 2017,"2,007",25,36,30,9,6,6,8,5,6
Allensbach,1–13 Apr 2017,"1,407",–,36,31,9,7,6,7,4,5
Infratest dimap,10–12 Apr 2017,"1,502",–,34,31,7,8,6,11,3,3
Emnid,6–12 Apr 2017,"2,436",–,35,31,9,7,6,9,3,4
INSA,7–10 Apr 2017,"2,030",–,33,31.5,8.5,6.5,6.5,10,4,1.5
Civey,4–10 Apr 2017,"7,544",–,35.1,30.1,8.6,7.0,5.8,9.0,4.4,5.0
Forsa,3–7 Apr 2017,"2,502",23,36,30,8,7,6,8,5,6
Forschungsgruppe Wahlen,4–6 Apr 2017,"1,384",–,35,32,8,7,5,9,4,3
Emnid,30 Mar–5 Apr 2017,"1,958",–,35,33,8,7,5,9,3,2
INSA,31 Mar–3 Apr 2017,"2,033",–,32,32.5,9,6.5,6.5,9,4.5,0.5
Ipsos,31 Mar–3 Apr 2017,"1,046",–,34,30,8,8,5,10,5,4
Civey,30 Mar–3 Apr 2017,"7,544",–,34.3,31.9,7.9,6.8,6.5,8.2,4.4,2.4
Forsa,27–31 Mar 2017,"2,504",24,36,29,9,7,5,8,6,7
Emnid,23–29 Mar 2017,"2,416",–,33,33,8,7,6,8,5,Tie
INSA,24–27 Mar 2017,"2,034",–,32,32,8.5,6.5,6,11,4,Tie
Civey,21–27 Mar 2017,"7,524",–,32.8,32.5,7.1,6.9,6.2,10.0,4.5,0.3
Forsa,20–24 Mar 2017,"2,501",23,34,32,8,7,6,7,6,2
Infratest dimap,20–22 Mar 2017,"1,023",–,32,32,7,8,6,11,4,Tie
Emnid,16–22 Mar 2017,"2,450",–,33,33,8,8,5,9,4,Tie
GMS,16–22 Mar 2017,"1,008",–,34,31,8,8,6,9,4,3
Civey,19–21 Mar 2017,"5,030",–,32.2,33.1,7.6,6.7,6.1,10.0,4.3,0.9
Ipsos,17–20 Mar 2017,"1,055",–,33,30,8,8,6,11,4,3
INSA,17–20 Mar 2017,"1,933",–,31,32,8.5,6.5,6.5,11.5,4,1
Allensbach,6–19 Mar 2017,"1,397",–,34,33,8,7.5,6.5,7,4,1
Forsa,13–17 Mar 2017,"2,504",23,34,31,7,7,6,9,6,3
Emnid,9–15 Mar 2017,"1,832",–,33,32,8,8,5,9,5,1
INSA,10–13 Mar 2017,"2,051",–,31,31,8.5,6.5,7,11.5,4.5,Tie
Civey,8–10 Mar 2017,"5,017",–,33.5,31.4,7.1,6.8,6.7,10.3,4.2,2.1
Forsa,6–10 Mar 2017,"2,505",24,33,32,7,7,6,9,6,1
Forschungsgruppe Wahlen,7–9 Mar 2017,"1,212",–,34,32,8,7,5,9,5,2
Infratest dimap,6–8 Mar 2017,"1,502",–,32,31,8,8,6,11,4,1
Emnid,2–8 Mar 2017,"1,882",–,33,33,8,7,6,8,5,Tie
INSA,3–6 Mar 2017,"2,022",–,30.5,31.5,8.5,6.5,7.5,11,4.5,1
Ipsos,3–6 Mar 2017,"1,058",–,33,29,9,8,6,11,4,4
Civey,2–6 Mar 2017,"5,006",–,33.6,31.2,7.6,6.7,7.0,9.4,4.5,2.4
Forsa,27 Feb–3 Mar 2017,"2,502",23,33,32,7,8,6,8,6,1
Emnid,23 Feb–1 Mar 2017,"1,403",–,33,32,8,7,6,10,4,1
Civey,26–27 Feb 2017,"5,012",–,34.3,31.4,8.1,7.1,6.4,8.4,4.3,2.9
INSA,24–27 Feb 2017,"2,004",–,30.5,32,8,6.5,7,11,5,1.5
Forsa,20–24 Feb 2017,"2,500",23,33,31,7,8,7,9,5,2
Infratest dimap,20–22 Feb 2017,"1,047",–,31,32,7,8,6,11,5,1
Emnid,16–22 Feb 2017,"1,880",–,32,32,8,7,7,9,5,Tie
Civey,18–20 Feb 2017,"5,011",–,34.1,28.7,8.4,7.9,6.5,10.0,4.4,5.4
Ipsos,17–20 Feb 2017,"1,045",–,32,30,10,7,5,12,4,2
INSA,17–20 Feb 2017,"2,030",–,31.5,30,9.5,6.5,5.5,11,6,1.5
Forsa,13–17 Feb 2017,"2,502",23,34,31,8,7,6,8,6,3
Forschungsgruppe Wahlen,14–16 Feb 2017,"1,231",–,34,30,7,9,6,10,4,4
Emnid,9–15 Feb 2017,"1,885",–,32,33,8,7,6,9,5,1
Allensbach,1–15 Feb 2017,"1,542",–,33,30.5,8,8,7,8.5,5,2.5
INSA,10–13 Feb 2017,"2,028",–,30,31,10,7,5,12,5,1
Civey,7–13 Feb 2017,"5,016",–,33.1,29.3,8.3,7.7,6.2,11.0,4.4,3.8
Forsa,5–10 Feb 2017,"2,502",24,34,31,8,7,5,9,6,3
Emnid,2–8 Feb 2017,"1,966",–,33,32,8,7,6,10,4,1
GMS,2–8 Feb 2017,"1,009",–,33,29,8,9,6,11,4,4
Civey,2–7 Feb 2017,"5,025",–,34.0,27.2,8.5,8.3,6.4,11.3,4.3,6.8
INSA,3–6 Feb 2017,"2,042",–,30,31,10,7,6,12,4,1
Trend Research,31 Jan–6 Feb 2017,854,–,30,30,9,7,6,13,5,Tie
Ipsos,3–5 Feb 2017,"1,046",–,33,29,9,8,5,12,4,4
Forsa,30 Jan–3 Feb 2017,"2,501",23,34,31,8,8,5,10,4,3
Emnid,26 Jan–2 Feb 2017,"2,233",–,33,29,8,8,6,11,5,4
INSA,31 Jan–1 Feb 2017,"1,003",–,33,27,9,9,6,12,4,6
Infratest dimap,30 Jan–1 Feb 2017,"1,506",–,34,28,8,8,6,12,4,6
INSA,27–30 Jan 2017,"2,088",–,32.5,26,10.5,7.5,6.5,13,4,6.5
Civey,22–30 Jan 2017,"5,014",–,36.2,23.1,9.1,8.6,6.4,12.1,4.5,13.1
Forsa,23–27 Jan 2017,"2,502",24,35,26,9,8,6,11,5,9
Forschungsgruppe Wahlen,24–26 Jan 2017,"1,303",–,36,24,10,8,6,11,5,12
Infratest dimap,24–25 Jan 2017,"1,029",–,35,23,8,9,6,14,5,12
Emnid,19–25 Jan 2017,"1,996",–,37,23,10,10,6,11,3,14
INSA,20–23 Jan 2017,"1,992",–,32.5,21,11,8.5,7.5,14.5,5,11.5
Ipsos,19–23 Jan 2017,"1,046",–,34,23,10,11,5,13,4,11
Civey,12–23 Jan 2017,"5,028",–,37.1,20.4,9.5,9.3,6.2,13.2,4.3,16.7
Forsa,16–20 Jan 2017,"2,504",26,37,21,9,10,6,12,5,16
Allensbach,5–19 Jan 2017,"1,441",–,36,23,9.5,9,7,11.5,4,13
Emnid,12–18 Jan 2017,"2,805",–,36,21,11,9,6,12,5,15
INSA,13–16 Jan 2017,"2,031",–,33.5,21,11,8.5,7.5,13.5,5,12.5
Civey,9–16 Jan 2017,"5,014",–,36.1,20.5,9.4,9.9,6.4,13.3,4.4,15.6
Forsa,9–13 Jan 2017,"2,503",26,38,21,9,9,6,11,6,17
Forschungsgruppe Wahlen,10–12 Jan 2017,"1,292",–,36,21,9,10,6,13,5,15
Emnid,6–11 Jan 2017,"1,878",–,37,21,10,10,6,12,4,16
Ipsos,6–9 Jan 2017,"1,054",–,34,22,10,10,5,14,5,12
INSA,6–9 Jan 2017,"2,054",–,32,21,11,9,7,15,5,11
Forsa,2–6 Jan 2017,"2,501",27,37,20,9,10,6,12,6,17
Emnid,3–5 Jan 2017,834,–,38,22,9,10,5,12,4,15
Infratest dimap,2–4 Jan 2017,"1,505",–,37,20,9,9,5,15,5,17
GMS,28 Dec 2016–4 Jan 2017,"1,006",–,36,20,10,10,7,13,4,16
INSA,30 Dec 2016–2 Jan 2017,"2,099",–,32,21,11.5,10,6,15,4.5,11
