"Polling firm","Date","Sample size",A,V,O,B,F,Ø,C,Å,D,I,K,G,M,Q,Æ,Others,Red,Blue,All parties,Above 2%
Voxmeter,31 Oct 2022,"4,577",24.2,14.0,2.9,4.4,9.7,6.5,6.1,3.6,4.1,7.7,0.7,—,8.5,0.7,6.9,-,49.1,42.4,,
Gallup,31 Oct 2022,"4,483",26.6,13.7,2.9,4.4,8.7,6.3,6.0,3.2,4.3,7.3,0.9,—,8.8,0.3,7.0,–,49.1,42.1,7.0,7.6
Yougov,27–31 Oct 2022,"1,336",27.6,12.9,2.8,3.2,8.5,6.3,6.5,1.9,4.3,6.9,0.2,—,8.0,0.9,10.1,–,48.4,43.7,4.7,2.1
Epinion,27 Oct 2022,"2,538",24.4,13.3,2.4,4.7,8.7,6.3,5.8,2.3,5.2,8.6,0.4,—,8.3,0.7,8.6,–,47.1,44.3,2.8,2.5
Voxmeter,25–27 Oct 2022,"1,001",26.2,12.5,3.0,4.1,9.8,6.0,5.9,2.2,3.7,6.8,0.2,—,10.0,0.8,8.8,0.0,49.1,40.9,8.2,7.6
Yougov,21–25 Oct 2022,"1,261",28.6,10.4,2.6,3.6,8.3,6.7,6.5,2.3,4.3,7.1,0.5,—,9.6,0.7,8.5,–,50.2,39.9,10.3,10.1
Gallup,24 Oct 2022,"1,928",24.4,13.8,2.3,3.7,9.2,8.0,6.2,2.5,3.8,8.3,0.4,—,8.8,0.4,8.1,–,48.2,42.9,5.3,5.3
Voxmeter,22–24 Oct 2022,"1,004",25.0,13.2,1.9,3.8,9.6,6.5,6.0,1.7,4.2,7.3,0.6,—,11.5,0.6,8.1,0.0,47.2,41.3,5.9,6.1
Voxmeter,19–21 Oct 2022,942,25.7,14.2,2.4,4.7,9.1,6.8,6.7,2.2,3.8,7.5,0.5,—,8.8,0.5,6.8,0.3,49.0,41.9,7.1,7.1
Epinion,20 Oct 2022,"2,568",24.3,12.7,2.4,4.3,8.0,7.1,7.0,2.2,4.9,7.0,0.6,—,9.8,0.8,8.6,–,46.7,43.2,3.5,3.3
Gallup,18 Oct 2022,"1,989",27.7,14.5,2.7,4.5,8.9,6.9,7.1,1.5,4.8,6.7,0.7,—,7.3,0.7,5.9,–,50.2,42.4,7.8,6.3
Voxmeter,16–18 Oct 2022,"1,008",25.0,14.7,1.8,5.3,9.1,7.4,7.7,1.6,3.9,5.7,0.6,—,9.2,0.5,7.4,0.1,48.9,41.8,7.1,7.4
Yougov,15–18 Oct 2022,"1,343",30.3,10.6,2.8,3.1,7.2,5.3,8.0,2.3,5.1,6.8,0.5,—,7.9,1.6,8.3,–,49.8,42.1,7.7,6.6
Voxmeter,13–15 Oct 2022,"1,019",26.1,14.4,2.6,4.8,8.7,6.6,8.9,1.9,4.5,6.1,0.9,—,6.1,0.4,7.9,0.1,48.5,45.3,3.2,1.8
Epinion,13 Oct 2022,"2,645",25.9,12.9,2.3,4.9,8.3,6.5,8.6,2.4,5.9,5.8,0.4,—,6.9,0.7,8.0,–,48.7,43.9,4.8,4.5
Gallup,12 Oct 2022,"1,995",27.4,12.9,3.1,5.1,8.5,6.1,9.9,1.6,4.5,5.5,1.4,—,5.5,0.5,8.0,–,49.2,45.3,3.9,3.2
Voxmeter,10–12 Oct 2022,"1,019",27.5,14.3,2.4,4.2,7.9,7.2,8.9,2.4,3.9,5.0,0.7,—,6.1,0.8,8.7,0.0,50.0,43.9,6.1,6.0
Yougov,11 Oct 2022,"1,271",30.6,10.5,3.4,4.3,8.1,5.1,10.4,1.7,4.4,5.5,0.1,—,4.4,0.6,10.6,–,50.4,44.9,5.5,3.3
Voxmeter,7–9 Oct 2022,"1,015",27.1,13.8,2.3,5.0,8.7,6.7,9.8,2.0,4.9,5.3,0.6,—,4.1,0.6,9.0,0.1,50.1,45.7,4.4,4.4
Yougov,7 Oct 2022,"1,010",29.3,9.5,2.9,3.5,8.0,8.2,10.8,1.0,5.3,4.4,0.1,—,5.2,0.6,11.2,–,50.6,44.1,6.5,4.9
Gallup,6 Oct 2022,"1,726",26.7,13.2,2.1,3.8,8.9,6.6,11.2,1.6,3.6,4.4,0.5,—,6.1,0.5,10.7,–,48.1,45.7,2.4,0.8
Voxmeter,3–6 Oct 2022,"1,094",27.5,14.6,1.7,5.4,8.3,7.1,11.4,1.2,4.7,5.6,0.8,—,3.3,0.3,7.9,0.1,49.8,46.7,3.1,4.1
Epinion,5 Oct 2022,"1,911",27.3,12.7,1.8,4.9,8.1,6.7,11.2,1.3,6.3,4.1,0.4,—,3.7,0.7,10.3,–,49.0,46.8,2.2,2.4
Gallup,2 Oct 2022,"1,607",24.4,11.9,1.9,6.8,7.9,8.7,12.3,1.2,6.0,4.0,1.3,—,3.4,0.3,9.8,–,49.3,47.2,2.1,3.8
Voxmeter,26 Sep–2 Oct 2022,"1,001",25.3,15.5,3.3,6.0,8.8,8.0,11.0,1.5,4.7,4.2,0.7,—,2.2,0.4,8.4,0.1,50.0,47.8,2.2,1.0
Voxmeter,19–25 Sep 2022,"1,004",25.1,14.1,2.5,6.5,8.3,7.3,11.6,1.1,5.1,4.6,1.2,0.3,2.4,0.6,9.1,0.2,49.2,48.2,1.0,0.2
Epinion,13–20 Sep 2022,"2,270",25.4,11.9,1.9,4.6,7.6,8.1,13.4,0.9,4.6,5.3,0.3,0.3,3.3,1.0,10.8,0.6,47.9,48.2,0.3,0.3
Voxmeter,12–18 Sep 2022,"1,001",24.2,13.9,2.1,6.3,8.4,8.3,13.6,0.8,4.8,4.3,1.3,0.3,1.8,0.4,9.3,0.2,48.7,49.3,0.6,0.8
Voxmeter,5–11 Sep 2022,"1,003",23.3,13.8,2.9,6.0,9.1,7.7,15.1,1.4,4.9,3.6,0.5,0.1,2.1,0.5,9.0,0.0,48.1,49.8,1.7,3.2
Voxmeter,29 Aug–4 Sep 2022,"1,002",24.7,12.5,3.3,6.4,8.0,7.2,16.2,1.6,4.3,3.4,1.0,0.1,1.7,0.3,9.3,0.1,48.3,50.0,1.7,2.7
Gallup,2 Sep 2022,"1,000",23.1,12.2,2.4,6.4,8.8,8.3,14.1,0.5,4.2,3.5,1.4,0.4,3.3,0.7,10.2,–,48.2,48.0,0.2,0.0
Voxmeter,22–28 Aug 2022,"1,001",25.2,11.8,3.4,5.7,7.8,8.1,16.4,1.4,3.7,4.0,0.4,0.2,2.3,0.4,8.9,0.3,48.8,48.6,0.2,1.4
Epinion,16–24 Aug 2022,"1,068",23.3,11.3,2.2,5.5,8.7,7.3,16.7,1.1,4.1,3.1,0.7,0.3,2.8,0.5,11.8,–,46.7,49.9,3.2,4.4
Voxmeter,15–21 Aug 2022,"1,068",25.1,11.0,3.2,5.6,7.6,7.5,16.5,1.2,4.3,4.9,0.6,0.3,1.9,0.5,9.3,0.5,47.8,49.8,2.0,3.4
Voxmeter,8–14 Aug 2022,"1,051",23.9,13.4,2.5,6.3,8.5,8.1,13.3,0.5,5.8,4.3,1.0,0.1,2.2,0.2,9.7,0.2,47.6,50.0,2.4,2.2
Yougov,7 Aug 2022,"1,242",26.1,10.0,3.1,5.2,7.2,6.9,13.9,1.0,5.2,3.2,0.3,0.8,4.6,0.6,11.9,–,47.8,47.6,0.2,1.9
Voxmeter,1–6 Aug 2022,"1,001",22.9,15.2,2.8,7.2,8.3,7.4,12.5,1.2,4.7,3.2,0.4,0.2,1.9,0.3,11.2,0.6,47.5,50.0,2.5,3.8
Gallup,5 Aug 2022,"1,577",23.5,13.2,1.8,6.9,9.3,6.1,11.8,0.3,6.0,4.1,1.7,0.2,4.1,0.3,10.2,–,46.6,48.8,2.2,0.5
Epinion,21–28 Jul 2022,1833,24.2,14.2,2.1,5.8,8.1,7.3,11.5,1.3,4.4,3.8,1.0,0.4,3.1,0.8,10.8,0.7,47.9,47.8,0.1,1.4
Voxmeter,27 Jun–3 Jul 2022,"1,003",25.8,13.6,2.2,6.9,9.1,7.6,12.3,1.5,4.3,3.0,0.8,0.0,2.2,0.8,—,10.1,51.5,38.4,13.1,14.0
Voxmeter,20–26 Jun 2022,"1,002",26.3,15.2,4.3,7.5,8.3,7.9,13.0,1.4,5.8,3.2,0.3,0.5,2.1,0.6,—,3.6,52.5,43.9,8.6,8.5
Voxmeter,13–19 Jun 2022,"1,049",26.5,17.4,4.2,6.5,8.0,7.5,14.2,0.7,6.2,3.8,0.7,0.0,3.1,0.8,—,0.4,50.0,49.6,0.4,2.7
Gallup,14 Jun 2022,"1,544",25.4,14.6,5.3,6.3,9.8,7.8,13.8,1.0,6.1,3.6,1.4,0.3,3.6,0.5,—,0.5,51.1,48.4,2.7,5.9
Voxmeter,6–12 Jun 2022,"1,032",26.4,17.7,5.6,7.1,8.6,6.5,12.9,1.2,5.3,3.5,0.7,0.1,3.7,0.3,—,0.4,50.2,49.4,0.8,3.6
Voxmeter,30 May–5 Jun 2022,"1,002",26.3,17.2,4.9,7.2,9.4,7.3,13.6,0.8,5.8,4.4,0.9,0.0,1.5,0.3,—,0.4,51.3,46.8,4.5,4.3
Voxmeter,23–29 May 2022,"1,001",24.9,16.1,4.0,7.1,9.5,7.7,14.9,1.3,6.9,3.6,0.7,0.2,1.4,0.7,—,1.0,51.4,46.2,5.2,3.7
Epinion,22–29 May 2022,"2,096",27.2,15.7,5.3,6.1,8.4,6.5,13.0,1.0,7.0,3.9,0.6,0.5,1.9,1.6,—,1.3,51.3,45.5,5.8,3.3
Voxmeter,16–22 May 2022,"1,003",25.6,17.2,4.3,7.3,8.9,8.3,13.3,1.0,7.0,3.8,1.5,0.0,1.5,0.3,—,0.2,51.2,48.6,3.4,4.5
Epinion,11–18 May 2022,"1,973",25.5,15.9,5.2,6.5,7.7,6.9,14.2,1.5,6.8,4.1,0.9,0.4,2.4,0.8,—,–,49.3,49.5,0.2,0.4
Voxmeter,9–15 May 2022,"1,028",26.2,16.3,5.1,7.6,7.9,8.7,14.2,0.8,5.8,3.1,1.3,0.2,1.9,0.6,—,0.3,51.7,47.7,4.0,5.9
Voxmeter,2–8 May 2022,"1,021",27.4,16.4,5.7,6.5,7.7,8.0,14.5,0.6,4.9,3.4,1.7,0.1,2.1,0.5,—,0.6,50.8,48.7,3.1,4.7
Gallup,29 Apr–5 May 2022,"1,415",25.7,15.1,5.5,6.3,9.0,8.0,15.2,0.9,5.3,3.2,1.7,0.3,3.0,0.7,—,0.1,50.9,49.0,1.9,4.7
Voxmeter,25 Apr–1 May 2022,"1,067",28.9,15.6,4.4,7.1,7.9,7.7,13.9,1.0,5.3,4.0,0.9,0.1,2.1,0.2,—,0.9,52.9,46.2,6.3,8.4
Epinion,20–27 Apr 2022,"1,676",27.7,12.3,5.0,6.5,8.4,6.9,14.9,1.2,6.7,3.8,2.4,0.6,2.4,0.6,—,–,51.9,47.5,4.4,4.4
Voxmeter,18–24 Apr 2022,"1,002",27.9,15.6,5.2,8.2,8.6,7.2,13.8,1.2,5.7,3.1,1.3,0.0,1.4,0.4,—,0.4,53.5,46.1,7.4,8.5
YouGov,8–11 Apr 2022,"1,241",29.2,11.1,4.5,3.2,8.1,6.3,17.2,0.5,9.4,3.1,1.1,0.8,4.8,1.0,—,–,48.8,46.4,2.4,1.5
Voxmeter,4–9 Apr 2022,"1,001",26.0,16.2,6.1,7.5,9.0,7.5,13.5,1.3,6.1,2.4,1.3,0.1,2.2,0.2,—,0.6,51.6,47.8,3.8,5.7
Voxmeter,28 Mar–3 Apr 2022,"1,007",26.0,15.4,5.7,6.7,9.4,7.6,14.5,1.2,5.5,2.9,1.6,0.1,2.3,0.5,—,0.6,51.5,47.9,3.6,5.7
Gallup,4 Apr 2022,"1,500",26.7,13.4,4.9,6.2,8.5,7.6,15.4,0.5,6.7,3.0,1.6,0.4,3.6,0.9,—,0.6,50.8,48.6,2.2,5.6
Voxmeter,21–27 Mar 2022,"1,005",27.6,14.3,5.2,6.8,8.6,8.8,15.2,0.8,4.6,2.2,1.2,0.1,3.2,0.5,—,0.9,53.2,45.9,7.3,10.3
Voxmeter,14–20 Mar 2022,"1,003",26.5,15.1,4.4,7.4,9.5,8.5,15.9,0.7,5.1,2.6,1.3,0.1,1.8,0.2,—,0.9,52.9,46.2,6.7,8.8
Epinion,8–15 Mar 2022,"2,024",28.0,15.3,5.0,6.5,8.0,6.8,14.3,1.4,7.1,2.6,1.2,0.5,1.9,0.7,—,–,51.9,47.4,4.5,5.0
YouGov,4–7 Mar 2022,"1,248",30.5,8.7,5.0,5.5,7.1,7.9,16.7,0.6,9.1,2.4,0.9,0.6,4.8,0.3,—,–,52.5,47.6,4.9,9.1
Voxmeter,7–12 Mar 2022,"1,007",27.0,14.0,5.3,6.6,8.9,7.6,15.1,1.7,5.7,3.0,1.3,0.3,2.2,0.0,—,1.3,52.1,46.6,5.5,7.0
Voxmeter,21–27 Feb 2022,"1,004",26.5,14.5,4.3,7.7,8.2,8.9,16.8,1.3,5.6,3.1,0.9,0.0,–,0.3,—,1.9,52.9,45.2,7.7,7.0
Voxmeter,14–20 Feb 2022,"1,007",25.2,15.0,6.1,7.3,8.7,9.4,16.0,1.5,4.7,3.5,1.1,0.0,–,0.0,—,1.5,52.1,46.4,5.7,5.3
Epinion,9–16 Feb 2022,"2,081",24.8,13.0,6.3,6.8,8.2,7.8,16.8,0.6,8.2,2.5,1.5,0.4,–,0.9,—,2.2,49.5,48.3,1.2,0.8
Voxmeter,7–12 Feb 2022,"1,003",24.9,14.1,5.6,6.9,8.9,9.5,16.6,1.4,5.0,3.1,1.5,0.0,–,0.2,—,2.4,51.7,45.9,5.8,5.8
YouGov,4–6 Feb 2022,"1,245",28.2,9.6,5.3,5.0,7.9,6.8,17.4,0.8,9.5,2.4,1.0,1.4,4.5,0.3,—,–,49.0,49.7,0.2,3.7
Voxmeter,31 Jan–6 Feb 2022,"1,024",24.0,14.8,6.2,7.2,9.2,9.1,16.1,0.9,5.4,2.8,1.8,0.2,–,0.2,—,2.1,50.8,47.1,3.7,4.2
Gallup,26 Jan–3 Feb 2022,"1,652",27.5,13.8,6.0,5.8,8.1,9.8,15.3,0.6,5.6,2.1,1.5,0.1,2.5,0.5,—,0.8,52.4,46.8,6.4,8.4
Voxmeter,24–30 Jan 2022,"1,015",24.9,14.2,7.1,7.7,8.6,8.3,16.4,0.9,6.0,2.1,1.7,0.0,–,0.0,—,2.1,50.4,47.5,2.9,3.7
Voxmeter,17–23 Jan 2022,"1,008",26.8,14.4,5.5,6.9,8.0,9.4,15.5,0.8,6.8,2.9,1.2,0.0,–,0.1,—,1.7,52.0,46.3,5.7,6.0
Voxmeter,10–16 Jan 2022,"1,003",25.8,15.1,5.3,7.5,8.5,9.3,14.6,1.1,5.9,3.3,1.4,0.0,–,0.3,—,1.9,52.5,45.6,6.9,6.9
YouGov,7–10 Jan 2022,"1,256",28.6,11.0,6.5,5.7,6.9,7.8,17.8,0.5,8.2,2.6,1.2,0.5,2.4,0.5,—,–,49.9,49.6,0.3,2.9
Voxmeter,3–8 Jan 2022,"1,002",25.1,16.5,6.2,7.2,8.6,8.9,15.0,1.2,6.0,2.5,1.8,0.0,–,0.1,—,0.9,51.1,48.0,3.1,3.6