Polling firm,Date,"Sample size",Resp.,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Lead
Kantar TNS,9–11 Sep 2021,"2,088",–,5.7,8.7,5.1,24.6,12.7,4.5,3.8,19.0,12.3,3.6,5.6
Opinion Perduco,10 Sep 2021,–,–,4.6,7.7,4.8,26.9,14.8,4.5,3.3,18.9,11.9,2.5,8.0
Kantar TNS,8–10 Sep 2021,"2,388",83.6,5.9,9.1,4.9,24.5,13.2,4.4,4.2,19.4,11.3,3.3,5.1
Kantar TNS,7–9 Sep 2021,"2,387",81.4,6.7,9.2,4.7,23.9,12.7,4.8,4.9,19.1,10.9,3.3,4.8
Norfakta,7–8 Sep 2021,"1,003",84.0,5.4,8.2,5.9,24.0,14.8,3.8,3.6,19.1,11.8,3.5,4.9
Ipsos MMI,6–8 Sep 2021,–,–,6.0,11.8,4.3,22.9,12.2,6.1,4.2,17.0,11.8,3.7,5.9
Norstat,4–8 Sep 2021,–,–,4.6,9.0,4.9,24.6,11.6,5.8,3.9,18.8,11.9,4.9,5.8
Respons Analyse,3–8 Sep 2021,"1,000",–,6.0,9.4,4.2,26.6,11.1,3.9,4.5,18.0,12.4,3.9,8.6
Kantar TNS,3–8 Sep 2021,"2,582",–,6.4,9.3,4.7,23.7,13.4,4.6,4.5,19.1,11.2,3.5,4.6
Norstat,31 Aug–8 Sep 2021,"11,500",–,4.9,8.9,4.9,24.7,11.9,4.9,4.2,20.4,12.0,3.1,4.3
Kantar TNS,1–7 Sep 2021,"2,184",–,6.2,8.9,5.0,23.8,13.8,4.8,4.3,18.6,11.1,3.5,5.2
Kantar TNS,1–6 Sep 2021,"1,686",–,5.6,9.5,4.7,23.3,14.0,4.7,4.1,19.4,10.9,3.8,3.9
Norstat,30 Aug–6 Sep 2021,969,–,5.2,8.6,5.4,23.9,14.3,3.6,3.4,18.5,12.4,4.7,5.4
Kantar TNS,25 Aug–3 Sep 2021,"1,388",–,5.4,9.4,4.3,23.4,14.0,4.6,3.6,20.5,10.0,4.9,2.9
Kantar TNS,27 Aug–2 Sep 2021,"1,480",–,5.1,9.5,5.0,23.2,12.4,4.8,4.3,21.2,9.0,5.4,2.0
Respons Analyse,27 Aug–1 Sep 2021,"1,000",81.0,4.6,10.4,4.9,23.2,12.6,5.5,3.6,20.1,11.5,3.6,3.1
Kantar TNS,25–31 Aug 2021,"1,200",–,4.9,9.7,5.0,23.4,11.0,4.8,4.1,21.5,10.7,4.9,1.9
Norstat,23–29 Aug 2021,–,–,5.0,10.6,4.8,23.1,12.2,4.5,4.7,"19,6",11.3,3.9,3.5
Norstat,24–28 Aug 2021,962,–,5.4,10.0,5.8,23.7,12.6,4.9,3.7,19.0,11.5,3.4,4.7
Kantar TNS,23–27 Aug 2021,996,–,7.2,10.2,5.0,22.6,11.5,4.4,3.8,19.2,11.8,4.3,3.4
Kantar TNS,22–25 Aug 2021,–,–,6.3,9.9,5.3,22.4,11.2,4.8,3.7,20.5,10.7,5.2,1.9
Sentio,17–21 Aug 2021,"1,000",–,5.4,8.8,7.2,23.9,13.2,3.8,3.9,19.1,9.8,4.9,4.8
Norstat,16–22 Aug 2021,–,–,4.7,9.5,5.3,26.8,12.8,3.8,3.6,18.9,10.5,4.2,7.9
Kantar TNS,16–20 Aug 2021,992,81.7,5.9,9.5,5.1,22.7,13.0,4.4,3.4,19.7,9.3,7.0,3.0
Respons Analyse,13–18 Aug 2021,"1,001",–,4.7,9.5,5.8,24.9,11.3,5.0,4.2,20.3,11.6,2.7,4.6
Norstat,10–13 Aug 2021,948,–,3.2,7.6,6.7,22.1,17.1,4.1,2.9,21.9,8.6,5.8,0.2
Kantar TNS,9–13 Aug 2021,983,–,5.1,9.3,6.3,22.8,13.7,3.4,5.1,21.2,7.7,5.6,1.6
Norstat,28 Jul–11 Aug 2021,"11,400",–,4.9,6.9,4.3,25.5,16.2,3.3,3.1,21.1,10.9,3.9,4.4
Norstat,6–11 Aug 2021,"1,000",79.0,4.6,8.6,5.9,24.0,16.1,4.3,3.2,19.1,10.1,4.1,4.9
Respons Analyse,5–11 Aug 2021,"1,000",–,4.3,9.4,5.1,24.8,15.3,4.0,3.3,18.9,11.4,3.5,5.9
Opinion Perduco,3–8 Aug 2021,964,76.0,3.8,8.8,3.5,22.6,19.2,3.8,4.0,21.2,9.3,3.8,1.4
Kantar TNS,2–6 Aug 2021,977,-,7.5,8.6,4.5,23.5,16.4,3.2,3.8,18.2,9.3,5.0,5.3
Norstat,22–28 Jul 2021,"1,000",74.0,5.5,8.0,4.1,26.9,15.0,3.6,3.0,19.5,11.6,2.8,7.4
Norfakta,6–7 Jul 2021,"1,000",77.0,6.0,8.8,3.9,23.8,16.9,4.0,3.1,20.2,10.3,3.0,3.6
Kantar TNS,28 Jun–2 Jul 2021,982,–,5.4,7.3,4.9,22.4,19.1,2.8,3.8,19.7,10.6,4.1,2.7
Ipsos MMI,28–30 Jun 2021,"1,000",–,5.5,6.6,5.0,23.9,19.3,3.4,2.7,20.7,7.2,5.7,3.2
Norstat,17–23 Jun 2021,"1,000",75.0,4.9,8.8,4.2,27.0,15.0,2.5,3.5,21.1,9.4,3.5,5.9
Norstat,15–20 Jun 2021,930,–,5.8,8.4,2.8,24.9,17.5,2.6,2.7,22.1,9.6,3.5,2.8
Respons Analyse,9–14 Jun 2021,1.000,–,4.5,8.2,3.7,23.6,18.2,2.8,3.3,21.4,10.5,3.7,2.2
Sentio,8–13 Jun 2021,"1,000",–,4.8,7.0,5.0,23.9,18.7,2.8,3.3,21.9,10.1,2.4,2.0
Norstat,26 May–11 Jun 2021,"11,400",–,4.2,7.8,3.7,24.1,17.7,2.7,3.6,23.0,10.2,3.2,1.1
Opinion Perduco,1–7 Jun 2021,964,74.0,4.7,6.1,4.7,24.3,18.7,2.3,3.7,22.8,10.3,2.5,1.5
Norfakta,31 May–4 Jun 2021,–,–,5.6,8.1,4.0,23.5,17.6,2.9,2.9,22.3,10.9,2.3,1.2
Norstat,25–31 May 2021,953,–,5.9,7.3,4.2,24.7,17.0,3.1,3.0,21.2,10.7,3.0,3.3
Kantar TNS,25–31 May 2021,"1,179",–,6.5,8.5,4.5,24.5,17.5,4.1,3.4,18.2,9.8,2.7,6.5
Ipsos MMI,24–26 May 2021,"1,000",74.0,4.0,7.6,4.7,25.7,16.4,2.6,3.3,21.1,10.1,4.5,4.6
Norstat,18–25 May 2021,967,–,4.9,7.5,2.6,25.0,16.2,2.7,3.6,23.7,9.9,4.0,1.3
Norstat,20–24 May 2021,999,–,3.9,7.8,5.3,24.5,16.2,3.2,2.9,22.8,10.9,2.6,1.7
Sentio,11–16 May 2021,"1,000",–,4.6,7.3,5.1,25.3,14.6,3.4,3.8,22.1,12.0,1.7,3.2
Opinion Perduco,13 May 2021,–,–,4.4,9.3,5.0,25.6,16.3,3.3,4.1,22.0,8.7,1.4,3.6
Respons Analyse,5–10 May 2021,"1,001",–,4.0,8.0,4.2,21.5,18.3,3.6,4.1,22.0,10.8,3.5,0.5
Norfakta,4–5 May 2021,"1,000",–,4.2,8.0,3.8,24.4,14.8,3.9,3.9,23.9,10.0,3.1,0.5
Norstat,27 April–3 May 2021,958,–,4.4,8.8,4.0,23.1,17.5,3.1,4.2,21.1,11.3,2.4,2.0
Kantar TNS,26–30 Apr 2021,976,–,4.6,8.1,2.1,21.1,18.4,4.1,4.5,24.3,8.6,4.1,3.2
Ipsos MMI,26–28 Apr 2021,"1,000",73.0,4.5,8.5,3.9,23.5,17.5,3.7,4.0,20.4,9.5,4.5,3.1
Norstat,20–24 Apr 2021,963,–,3.7,7.4,3.6,25.6,17.8,3.1,3.8,21.8,10.0,3.2,3.8
Norstat,7–20 Apr 2021,"11,413",–,3.7,7.0,3.9,23.3,17.1,2.9,3.4,24.7,11.1,3.0,1.4
Sentio,13–19 Apr 2021,"1,000",–,4.1,7.3,4.4,24.8,17.1,2.9,3.1,24.1,10.0,2.1,0.7
Opinion Perduco,14 Apr 2021,–,–,4.0,7.7,5.7,23.1,19.0,3.3,3.1,21.7,9.5,3.0,1.4
Respons Analyse,7–12 Apr 2021,"1,000",75.0,4.8,7.7,4.4,25.4,14.0,3.2,3.2,26.6,8.3,2.4,1.2
Norfakta,6–7 Apr 2021,"1,000",74.0,4.0,9.8,4.1,22.5,18.8,1.9,2.4,24.2,10.5,1.7,1.7
Kantar TNS,29 Mar–7 Apr 2021,"1,002",–,4.0,8.4,4.3,20.6,18.7,2.3,4.1,24.2,10.2,2.7,3.6
Norstat,23–28 Mar 2021,968,–,3.8,6.9,4.9,23.3,16.6,4.0,3.2,25.2,10.2,1.8,1.9
Ipsos MMI,22–24 Mar 2021,"1,000",77.0,4.9,7.4,3.4,24.3,16.7,2.9,2.9,20.9,11.5,5.1,3.4
Norstat,16–21 Mar 2021,961,–,4.1,7.5,3.3,20.5,20.5,2.4,4.1,23.8,9.9,4.1,3.3
Sentio,9–14 Mar 2021,"1,000",–,4.1,7.8,3.3,23.5,18.6,2.9,2.4,22.7,12.0,2.7,0.8
Respons Analyse,5–10 Mar 2021,"1,001",–,4.7,7.7,3.6,22.2,18.6,3.3,2.5,27.8,7.8,1.8,5.6
Opinion Perduco,1–8 Mar 2021,966,72.0,4.9,7.8,4.1,22.7,20.7,2.2,2.9,22.8,9.2,2.6,0.1
Norfakta,2–3 Mar 2021,"1,000",–,3.8,7.5,3.5,24.3,17.7,3.9,2.7,23.9,10.0,2.9,0.4
Norstat,22–28 Feb 2021,957,–,2.8,7.4,3.9,21.0,22.2,2.8,3.9,24.6,9.7,1.6,2.4
Kantar TNS,22–26 Feb 2021,981,–,6.8,8.6,4.0,18.2,19.2,2.9,3.3,25.6,7.2,4.2,6.4
Ipsos MMI,22–24 Feb 2021,"1,000",75.5,2.7,7.8,3.7,20.3,17.7,4.6,3.3,23.1,12.9,3.9,2.8
Norstat,15–21 Feb 2021,961,–,4.8,6.1,5.2,20.6,18.6,2.3,3.6,27.6,8.3,3.0,7.0
Sentio,9–14 Feb 2021,"1,000",–,3.8,8.6,4.7,21.0,18.4,2.7,3.3,26.9,7.5,3.0,5.9
Opinion Perduco,1–8 Feb 2021,964,–,2.9,7.4,4.0,24.6,19.1,3.2,3.2,25.1,8.1,2.5,0.5
Norfakta,2–3 Feb 2021,"1,000",–,3.8,7.5,5.0,21.3,19.7,4.0,2.7,27.3,6.4,2.3,6.0
Respons Analyse,27 Jan–2 Feb 2021,"1,000",–,4.2,7.3,3.8,22.8,18.8,1.9,3.4,26.3,8.7,2.8,3.5
Norstat,25–31 Jan 2021,945,74.7,3.9,8.3,4.8,20.7,21.9,2.4,3.5,22.8,8.3,3.3,0.9
Kantar TNS,25–29 Jan 2021,974,76.2,5.2,5.9,5.0,20.0,19.9,4.2,2.8,25.3,7.7,4.1,5.3
Ipsos MMI,25–27 Jan 2021,"1,000",73.4,5.3,7.7,1.8,20.4,21.4,2.5,2.9,25.4,9.5,3.1,4.0
Norstat,18–24 Jan 2021,954,–,3.8,7.6,3.0,24.2,19.6,1.6,2.7,25.6,10.0,1.9,1.4
Sentio,12–16 Jan 2021,"1,000",–,3.3,7.8,6.4,21.3,19.6,2.6,2.9,23.0,8.4,4.6,1.8
InFact,13 Jan 2021,"3,245",–,4.0,8.7,5.8,18.4,20.5,2.1,4.7,24.1,8.6,3.1,3.6
Opinion Perduco,13 Jan 2021,–,–,4.4,8.0,3.4,19.0,20.1,2.7,3.4,26.9,9.8,2.3,6.8
Kantar TNS,4–8 Jan 2021,976,–,5.3,7.6,3.4,22.4,21.7,2.3,3.3,24.2,7.4,2.2,1.8
Norfakta,5–6 Jan 2021,"1,001",78.0,3.1,8.2,4.5,17.5,22.6,2.7,3.4,24.3,11.1,2.6,1.7
Respons Analyse,4–6 Jan 2021,"1,000",–,3.4,7.7,3.8,20.5,19.2,3.4,3.4,26.5,9.3,2.8,6.0
Norstat,28 Dec 2020–2 Jan 2021,962,–,3.7,8.9,3.9,20.1,21.3,2.5,3.7,22.6,11.3,2.0,1.3
